agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
2,רכבת ישראל,http://www.rail.co.il,Asia/Jerusalem,he,,
3,אגד,http://www.egged.co.il,Asia/Jerusalem,he,,
4,אגד תעבורה,http://www.egged-taavura.co.il,Asia/Jerusalem,he,,
5,דן,http://www.dan.co.il,Asia/Jerusalem,he,,
6,ש.א.מ,http://www.nazareth-unbs.com,Asia/Jerusalem,he,,
7,נסיעות ותיירות,http://www.ntt-buses.com,Asia/Jerusalem,he,,
8,גי.בי.טורס,http://www.gb-tours.com,Asia/Jerusalem,he,,
10,מועצה אזורית אילות,http://www.callkav.gov.il/,Asia/Jerusalem,he,,
14,נתיב אקספרס,http://www.nateevexpress.com,Asia/Jerusalem,he,,
15,מטרופולין,http://www.metropoline.com,Asia/Jerusalem,he,,
16,סופרבוס,http://www.superbus.co.il,Asia/Jerusalem,he,,
18,קווים,http://www.kavim-t.co.il,Asia/Jerusalem,he,,
20,כרמלית,http://www.carmelithaifa.co.il,Asia/Jerusalem,he,,
21,סיטי פס,http://www.citypass.co.il,Asia/Jerusalem,he,,
23,גלים,http://www.galeem.co.il/,Asia/Jerusalem,he,,
24,מועצה אזורית גולן,https://www.golan.org.il/,Asia/Jerusalem,he,,
25,אפיקים,http://www.afikim-t.co.il/,Asia/Jerusalem,he,,
30,דן צפון,http://www.dannorth.co.il,Asia/Jerusalem,he,,
31,דן בדרום,http://www.danbadarom.co.il/,Asia/Jerusalem,he,,
32,דן באר שבע,http://www.danbr7.co.il/,Asia/Jerusalem,he,,
42,ירושלים-רמאללה איחוד,http://www.ramallahbus.com/ar,Asia/Jerusalem,he,,
44,ירושלים-אבו-תור-ענאתא איחוד,http://www.atabuses.com/ar,Asia/Jerusalem,he,,
45,ירושלים-אלווסט איחוד,http://www.centerbuses.com/ar,Asia/Jerusalem,he,,
47,ירושלים-הר הזיתים,http://mountofolivesbus.com/?lang=ar,Asia/Jerusalem,he,,
49,ירושלים - עיסאוויה מחנה שעפאט איחוד,http://www.shufatbus.com,Asia/Jerusalem,he,,
50,ירושלים-דרום איחוד,http://www.south-buses.com,Asia/Jerusalem,he,,
51,ירושלים-צור באהר איחוד,http://www.surbaherbus.com,Asia/Jerusalem,he,,
91,מוניות מטרו קו,http://www.metrokav.com,Asia/Jerusalem,he,,
92,מוניות שי-לי,http://www.bus.gov.il,Asia/Jerusalem,he,,
93,מוניות מאיה יצחק שדה,http://www.bus.gov.il,Asia/Jerusalem,he,,
94,מוניות שירן נסיעות ,http://www.shiran-tours.co.il,Asia/Jerusalem,he,,
95,מוניות יהלום תחבורה,http://diamondtaxi.co.il,Asia/Jerusalem,he,,
96,מוניות גלים,http://www.bus.gov.il,Asia/Jerusalem,he,,
97,אודליה מוניות בעמ,http://www.bus.gov.il,Asia/Jerusalem,he,,
98,מוניות רב קווית 4-5,https://isrssl.isrcorp.co.il:8093/taxi_45,Asia/Jerusalem,he,,
130,מוניות הדר לוד,http://www.bus.gov.il,Asia/Jerusalem,he,,
